scanned 7490 files, 298006 distinct identifiers

file                                               symbol                                     line self
nodes\_otr_media_archive_sources.py                _feed_title                                  63 2
nodes\_otr_media_archive_sources.py                _entry_date                                  69 2
nodes\_otr_media_archive_sources.py                _entry_link                                  78 2
nodes\_otr_model_loader.py                         _GEMMA4_UNIFIED_MODEL_IDS                   137 2
nodes\_otr_motion_clause.py                        _first_clause                               168 2
nodes\_otr_name_authority.py                       _QUOTE_MAP                                   80 2
nodes\_otr_name_authority.py                       _DASHES                                      85 2
nodes\_otr_name_authority.py                       _TITLE_WORDS                                 92 2
nodes\_otr_name_authority.py                       _RELATIONAL_ROLES                           119 2
nodes\_otr_name_authority.py                       _RELATIONAL_LEAD                            130 2
nodes\_otr_name_authority.py                       _claims_the_identity                        455 2
nodes\_otr_openrouter_backend.py                   _HARMONY_HEADER_RE                           76 2
nodes\_otr_openrouter_backend.py                   is_temperature_parameter_error              501 2
nodes\_otr_openrouter_backend.py                   _parse_iso                                  885 2
nodes\_otr_outline.py                              _build_phase_user_prompt                   1089 2
nodes\_otr_passage_selector.py                     _BRACKET_SPAN_RE                             76 2
nodes\_otr_passage_selector.py                     _SPEECH_RE                                   87 2
nodes\_otr_passage_selector.py                     _COLLECTIVE_SPEAKERS                        102 2
nodes\_otr_paths.py                                comfyui_log_path                            478 2
nodes\_otr_paths.py                                resolve_hf_model_path                       565 2
nodes\_otr_probe.py                                duration_gap_s                              129 2
nodes\_otr_provenance.py                           _LICENSED_NAMED_CODA                        124 2
nodes\_otr_provenance.py                           _LICENSED_STATUSES                          126 2
nodes\_otr_public_domain_sources.py                _PG_HEADER_RE                                71 2
nodes\_otr_public_domain_sources.py                _PG_FOOTER_RE                                75 2
nodes\_otr_public_domain_sources.py                _validate_unit                              157 2
nodes\_otr_public_domain_sources.py                _validate_source                            175 2
nodes\_otr_publication_eligibility.py              _rights_reasons                             236 2
nodes\_otr_publication_eligibility.py              _identity_reasons                           262 2
nodes\_otr_readiness.py                            _expand_abbreviations                       117 2
nodes\_otr_readiness.py                            _expand_symbols                             138 2
nodes\_otr_readiness.py                            _expand_numbers                             148 2
nodes\_otr_resolved_request.py                     _canon_part                                  44 2
nodes\_otr_rolls.py                                _bank_pool_diagnosis                        192 2
nodes\_otr_roster_gender.py                        _SUPPLEMENT_FILENAME                        197 2
nodes\_otr_roster_gender.py                        _supplement_path                            388 2
nodes\_otr_scifi_news_pro.py                       NewsProAuditError                           171 2
nodes\_otr_scifi_news_pro.py                       _DOSSIER_FACTS_CEILING                      235 2
nodes\_otr_scifi_news_pro.py                       _DOSSIER_NUMBERS_CEILING                    236 2
nodes\_otr_scifi_news_pro.py                       _DOSSIER_VECTORS_CEILING                    237 2
nodes\_otr_scifi_news_pro.py                       _DIGEST_HEADLINE_CHAR_CAP                   239 2
nodes\_otr_scifi_news_pro.py                       _DIGEST_SOURCE_CHAR_CAP                     240 2
nodes\_otr_scifi_news_pro.py                       _DIGEST_DATE_CHAR_CAP                       241 2
nodes\_otr_scifi_news_pro.py                       _DIGEST_SUMMARY_CHAR_CAP                    242 2
nodes\_otr_scifi_news_pro.py                       _evenly_spaced_positions                   1269 2
nodes\_otr_scifi_news_pro.py                       _ordered_unique                            1383 2
nodes\_otr_scifi_news_pro.py                       _extract_complete_source_dossier           1518 2
nodes\_otr_scifi_news_pro.py                       _news_read_source_anchors                  1691 2
nodes\_otr_scifi_news_pro.py                       _LEMMY_IDENTITY_KEY                        1978 2
nodes\_otr_scifi_news_pro.py                       _resolves_to_cast                          1992 2
nodes\_otr_scifi_news_pro.py                       _undecorated_label                         2008 2
nodes\_otr_scifi_news_pro.py                       _REPAIR_TURN_HEADROOM                      2201 2
nodes\_otr_scifi_news_pro_markup.py                _TRANSPORT_MARKERS                           68 2
nodes\_otr_scifi_news_pro_markup.py                _family_balanced                             82 2
nodes\_otr_scifi_news_pro_markup.py                _RE_ROLE_PARENTHETICAL                      223 2
nodes\_otr_scifi_p0_contract.py                    _P0_EXTRA_ROOT_FIELD_TOKENS                  27 2
nodes\_otr_scifi_p0_contract.py                    _P0_TOKENS_PER_CHAR                          47 2
nodes\_otr_scifi_p0_contract.py                    _P0_FIT_MARGIN_TOKENS                        48 2
nodes\_otr_scifi_p0_contract.py                    _trim_evidence_to_fit                       249 2
nodes\_otr_script_prep.py                          _SPEAKER_PREFIX                              15 2
nodes\_otr_shakespeare_sources.py                  _validate_scene                             163 2
nodes\_otr_shakespeare_sources.py                  _FOLGER_SPEECH_RE                           339 2
nodes\_otr_shakespeare_sources.py                  _speaker_from_line                          351 2
nodes\_otr_shakespeare_sources.py                  _speakers_from_text                         377 2
nodes\_otr_shared\aspect.py                        HUMO_PORTRAIT_DIMS                           33 2
nodes\_otr_shared\av_dims.py                       _nearest_8n1                                 49 2
nodes\_otr_shared\boot_contracts.py                LTX_AV_DIET                                 102 2
nodes\_otr_shared\capability_profiles.py           _is_res_string                               74 2
nodes\_otr_shared\capability_profiles.py           _SEED_POLICY_KEYS                           118 2
nodes\_otr_shared\capability_profiles.py           _LAUNCH_KEYS                                125 2
nodes\_otr_shared\capability_profiles.py           _VIDEO_KEYS                                 135 2
nodes\_otr_shared\capability_profiles.py           _VIDEO_OPTIONAL_KEYS                        150 2
nodes\_otr_shared\capability_profiles.py           _UPSCALE_STAGE_KEYS                         159 2
nodes\_otr_shared\capability_profiles.py           _IMAGE_KEYS                                 186 2
nodes\_otr_shared\capability_profiles.py           _AUDIO_KEYS                                 189 2
nodes\_otr_shared\capability_profiles.py           _RENDER_KEYS                                192 2
nodes\_otr_shared\capability_profiles.py           _PREFLIGHT_KEYS                             202 2
nodes\_otr_shared\capability_profiles.py           _MAPPING_SECTIONS                           352 2
nodes\_otr_shared\capability_profiles.py           _MAPPING_KEYS                               353 2
nodes\_otr_shared\capability_profiles.py           REASON_IMPRACTICAL_ON_CPU                   464 2
nodes\_otr_shared\cloud_media_backend.py           _PROVIDER_ID_RE                             161 2
nodes\_otr_shared\cloud_media_backend.py           _DEFAULT_CONCURRENCY                        162 2
nodes\_otr_shared\cloud_media_backend.py           _PROVIDER_DEFAULTS                          163 2
nodes\_otr_shared\cloud_media_backend.py           CostQuote                                   224 2
nodes\_otr_shared\cloud_media_backend.py           _sweep_locked                               408 2
nodes\_otr_shared\cloud_media_canonical.py         CANONICALIZER_VERSION                        64 2
nodes\_otr_shared\cloud_media_invoke.py            _CANCEL_UNWIND_S                             66 2
nodes\_otr_shared\cloud_media_invoke.py            _CONTENT_TYPE_BY_RETURN                      70 2
nodes\_otr_shared\cloud_media_invoke.py            _row_for                                    163 2
nodes\_otr_shared\cloud_media_invoke.py            _declared_input_names                       183 2
nodes\_otr_shared\cloud_media_invoke.py            _LOOP_LOCK                                  246 2
nodes\_otr_shared\cloud_media_invoke.py            _ensure_loop                                250 2
nodes\_otr_shared\cloud_media_invoke.py            _run_with_watchdog                          304 2
nodes\_otr_shared\cloud_media_invoke.py            _inject_hidden_inputs                       532 2
nodes\_otr_shared\cloud_media_invoke.py            _unwrap_outputs                             590 2
nodes\_otr_shared\cloud_media_invoke.py            _materialize                                599 2
nodes\_otr_shared\cloud_media_invoke.py            _normalize_result                           665 2
nodes\_otr_shared\cloud_media_invoke.py            _RELEASE_CODES                              715 2
nodes\_otr_shared\cloud_media_invoke.py            _settle_failure                             749 2
nodes\_otr_shared\content_oracle.py                is_frozen                                   157 2
nodes\_otr_shared\google_slug_verifier.py          PAGE_SIZE                                    39 2
nodes\_otr_shared\google_slug_verifier.py          _is_retryable                                86 2
nodes\_otr_shared\gpu_residency.py                 _LOCKDIR_NAME                                43 2
nodes\_otr_shared\portrait_ledger.py               _STILLS_SUBDIR                               42 2
nodes\_otr_shared\resolver.py                      _assert_provider_before_consumer            103 2
nodes\_otr_shared\route_freeze.py                  ENABLE_HUMO_HOSTS_ENV                        52 2
nodes\_otr_shared\route_freeze.py                  NEVER_HUMO_VIDEO_ROLES                       57 2
nodes\_otr_shared\scope_draw.py                    _rainbow_bars                               312 2
nodes\_otr_shared\scope_draw.py                    _golden_camera_body                         401 2
nodes\_otr_shared\scope_draw.py                    _mandala_centroid                           608 2
nodes\_otr_shared\text_tails.py                    _EDGE_PUNCT                                  40 2
nodes\_otr_shared\text_tails.py                    collapse_ws                                 107 2
nodes\_otr_slot_drama_contract.py                  _state_phrases                              190 2
nodes\_otr_slot_drama_contract.py                  _eq_norm                                    663 2
nodes\_otr_slug_provenance.py                      _PREVIEW_TOKEN                              194 2
nodes\_otr_slug_provenance.py                      unverified_identities                       350 2
nodes\_otr_source_document.py                      _DOUBLE_QUOTED_RE                            65 2
nodes\_otr_source_document.py                      _SINGLE_QUOTED_RE                            73 2
nodes\_otr_source_grounding.py                     SELECTOR_VERSION                             54 2
nodes\_otr_source_grounding.py                     DEFAULT_WINDOW_CHARS                         61 2
nodes\_otr_source_identity.py                      _SHAKESPEARE_AUTHOR                          53 2
nodes\_otr_source_identity.py                      _canonical_url                              138 2
nodes\_otr_source_identity.py                      _source_kind_of                             168 2
nodes\_otr_source_payload.py                       _EXHAUSTION_ATTEMPT_RE                       90 2
nodes\_otr_source_payload.py                       _fallback_error_excerpt                     381 2
nodes\_otr_source_payload.py                       _source_fallback_character_names            388 2
nodes\_otr_source_world.py                         _phrases_for                                138 2
nodes\_otr_specificity.py                          _ANCHOR_BLOCK_HEAD                           17 2
nodes\_otr_spoken_text_policy.py                   _first_match                                174 2
nodes\_otr_stage3_validators.py                    _has_transport_speaker_prefix                20 2
nodes\_otr_stage3_validators.py                    _beat_identity                               83 2
nodes\_otr_story_brief.py                          StoryBriefVisualStorybasedModel             168 2
nodes\_otr_story_routing.py                        _build_registry                             618 2
nodes\_otr_structured_call.py                      _SCHEMA_CONTRACT_END_MARKER                 129 2
nodes\_otr_structured_call.py                      _SCHEMA_CONSTRAINT_KEYS                     130 2
nodes\_otr_structured_call.py                      schema_property_paths                       280 2
nodes\_otr_structured_call.py                      _schema_constraint_description              358 2
nodes\_otr_structured_call.py                      _schema_contract_lines                      383 2
nodes\_otr_structured_call.py                      RepairLedgerBuilder                         524 2
nodes\_otr_structured_call.py                      _prompt_has_schema_contract                 602 2
nodes\_otr_structured_call.py                      _copy_message_prompt                        615 2
nodes\_otr_sys_specs.py                            _cpu_model                                   31 2
nodes\_otr_sys_specs.py                            _cpu_cores                                   52 2
nodes\_otr_sys_specs.py                            _ram_total                                   68 2
nodes\_otr_sys_specs.py                            _gpu_via_torch                               87 2
nodes\_otr_sys_specs.py                            _ram_peak                                   127 2
nodes\_otr_sys_specs.py                            _torch_version                              154 2
nodes\_otr_upscale_engines\eng_spandrel_esrgan.py  _RESOLVE_WARNED_MAX                          44 2
nodes\_otr_user_banks.py                           _DIGEST_EXCLUDED_NAMES                       51 2
nodes\_otr_user_banks.py                           _DIGEST_EXCLUDED_DIRS                        52 2
nodes\_otr_user_banks.py                           _MODULE_NAME_PREFIX                          77 2
nodes\_otr_user_banks.py                           _ID_CHARS                                   250 2
nodes\_otr_user_banks.py                           _check_bank_id                              253 2
nodes\_otr_video_engines\acceptance.py             _projection_fault                           440 2
nodes\_otr_video_engines\coverage_plan.py          JUMP_STILL_ID_PREFIX                        645 2
nodes\_otr_video_engines\eng_character_3d.py       _assert_usable_triposg                      172 2
nodes\_otr_video_engines\eng_cloud_video.py        _CLOUD_KLING_AVATAR_PLAN                    100 2
nodes\_otr_video_engines\eng_cloud_video.py        _KLING_MODE_DEFAULT                         135 2
nodes\_otr_video_engines\eng_cloud_video.py        _SEEDANCE_RATIOS                            165 2
nodes\_otr_video_engines\eng_cloud_video.py        _SEEDANCE_SMOOTH_MOTION_CLAUSE              168 2
nodes\_otr_video_engines\eng_cloud_video.py        _SEEDANCE_PROMPT_VARIANT                    175 2
nodes\_otr_video_engines\eng_cloud_video.py        _WAN_RESOLUTIONS                            209 2
nodes\_otr_video_engines\eng_cloud_video.py        _WAN_PROMPT_VARIANT                         220 2
nodes\_otr_video_engines\eng_cloud_video.py        _VIDU_Q2_MOVEMENT_AMPLITUDES                228 2
nodes\_otr_video_engines\eng_cloud_video.py        _VIDU_Q2_SMOOTH_MOTION_CLAUSE               231 2
nodes\_otr_video_engines\eng_cloud_video.py        _VIDU_Q2_PROMPT_VARIANT                     238 2
nodes\_otr_video_engines\eng_cloud_video.py        _condition_kling_avatar_prompt              241 2
nodes\_otr_video_engines\eng_cloud_video.py        _condition_wan_prompt                       259 2
nodes\_otr_video_engines\eng_cloud_video.py        _condition_vidu_q2_prompt                   276 2
nodes\_otr_video_engines\eng_cloud_video.py        _RAZZLE_MOTION_ENV                          917 2
nodes\_otr_video_engines\eng_cloud_video.py        _RAZZLE_MOTION_DEFAULT                      918 2
nodes\_otr_video_engines\eng_cloud_video.py        _RAZZLE_NEG_ENV                             923 2
nodes\_otr_video_engines\eng_ghost_signal.py       GHOST_MOTION_MIN_BYTES                       78 2
nodes\_otr_video_engines\eng_ghost_signal.py       _ghost_cadence_receipts_for                 239 2
nodes\_otr_video_engines\eng_ghost_signal_cadence.py GhostSignalHold3Engine                       58 2
nodes\_otr_video_engines\eng_ghost_signal_cadence.py GhostSignalHold5Engine                       67 2
nodes\_otr_video_engines\eng_ghost_signal_official.py GhostSignalV2Engine                          92 2
nodes\_otr_video_engines\eng_ghost_signal_official.py GhostSignalV3HauntedEngine                  138 2
nodes\_otr_video_engines\eng_google_omni_video.py  _image_refs                                 110 2
nodes\_otr_video_engines\eng_google_omni_video.py  _image_part                                 140 2
nodes\_otr_video_engines\eng_google_omni_video.py  _file_name_from_uri                         237 2
